id,status,category,flag,priority
104464,Active,5,1,5
104465,Inactive,0,1,4
104466,Active,9,1,5
104467,Inactive,3,0,3
104468,Inactive,7,0,5
104469,Active,4,0,4
104470,Inactive,9,1,4
104471,Active,5,1,4
104472,Active,8,1,2
104473,Inactive,5,1,5
104474,Active,3,0,2
104475,Active,4,0,5
104476,Pending,0,1,4
104477,Active,1,1,2
104478,Pending,8,1,2
104479,Inactive,9,1,5
104480,Inactive,6,0,2
104481,Active,5,1,4
104482,Inactive,3,1,1
104483,Active,3,1,1
104484,Active,9,1,1
104485,Pending,4,0,4
104486,Inactive,7,1,3
104487,Inactive,7,0,3
104488,Active,3,1,3
104489,Active,6,1,4
104490,Inactive,9,0,4
104491,Active,1,0,5
104492,Inactive,7,1,2
104493,Inactive,3,1,1
104494,Active,3,1,3
104495,Pending,4,0,5
104496,Active,5,0,1
104497,Active,9,1,5
104498,Active,3,1,5
104499,Active,0,0,4
104500,Active,0,0,2
104501,Active,7,0,4
104502,Active,7,1,2
104503,Active,1,0,5
104504,Active,3,1,2
104505,Inactive,6,0,4
104506,Pending,1,1,5
104507,Inactive,8,1,4
104508,Active,6,1,1
104509,Inactive,5,1,1
104510,Active,9,1,1
104511,Active,8,1,5
104512,Active,9,1,3
104513,Active,7,0,2
104514,Active,9,1,2
104515,Active,8,1,2
104516,Inactive,8,1,5
104517,Active,2,1,2
104518,Active,3,0,4
104519,Inactive,0,0,4
104520,Active,7,1,4
104521,Active,5,0,2
104522,Inactive,4,0,2
104523,Active,2,0,5
104524,Active,7,0,5
104525,Active,7,0,3
104526,Active,1,0,3
104527,Inactive,5,1,5
104528,Pending,0,1,4
104529,Inactive,6,0,4
104530,Active,7,0,2
104531,Active,3,0,2
104532,Inactive,5,1,1
104533,Pending,4,1,3
104534,Inactive,4,1,4
104535,Active,9,0,5
104536,Inactive,0,1,3
104537,Inactive,0,0,4
104538,Active,7,1,1
104539,Inactive,4,0,5
104540,Inactive,2,1,3
104541,Inactive,9,0,2
104542,Inactive,5,0,3
104543,Inactive,4,1,4
104544,Inactive,9,1,5
104545,Pending,5,1,3
104546,Pending,7,0,1
104547,Active,3,1,1
104548,Inactive,1,1,1
104549,Inactive,8,1,4
104550,Active,1,0,2
104551,Inactive,9,0,4
104552,Active,5,1,4
104553,Active,2,0,2
104554,Active,4,1,1
104555,Active,7,1,1
104556,Pending,0,0,2
104557,Inactive,6,0,3
104558,Active,5,1,5
104559,Active,5,1,2
104560,Inactive,6,1,1
104561,Inactive,4,0,3
104562,Inactive,9,1,5
104563,Active,9,1,3
104564,Pending,5,1,4
104565,Active,2,0,5
104566,Inactive,7,0,5
104567,Active,5,0,2
104568,Inactive,5,1,2
104569,Pending,8,1,5
104570,Pending,2,0,4
104571,Inactive,4,0,5
104572,Active,7,0,1
104573,Inactive,6,1,1
104574,Active,1,0,2
104575,Active,4,1,3
104576,Active,9,0,3
104577,Active,1,1,2
104578,Inactive,7,1,3
104579,Active,1,1,1
104580,Inactive,9,1,4
104581,Inactive,0,1,2
104582,Active,1,1,1
104583,Inactive,9,0,5
104584,Active,3,0,2
104585,Inactive,9,1,2
104586,Pending,3,0,2
104587,Active,5,0,4
104588,Inactive,9,0,4
104589,Pending,3,0,2
104590,Pending,5,1,3
104591,Pending,1,1,3
104592,Active,4,0,2
104593,Active,5,1,4
104594,Inactive,3,1,5
104595,Pending,1,0,5
104596,Active,5,0,4
104597,Active,6,1,2
104598,Active,3,1,5
104599,Pending,3,1,5
104600,Inactive,8,0,4
104601,Inactive,6,1,1
104602,Inactive,8,1,4
104603,Active,3,1,5
104604,Active,0,1,5
104605,Active,1,1,5
104606,Active,7,0,3
104607,Active,9,1,5
104608,Active,7,1,2
104609,Inactive,1,0,1
104610,Active,2,0,2
104611,Inactive,9,1,1
104612,Active,6,0,3
104613,Active,7,1,4
104614,Inactive,0,0,3
104615,Active,9,1,4
104616,Active,4,1,4
104617,Active,6,0,4
104618,Active,2,0,3
104619,Active,5,1,4
104620,Active,1,1,4
104621,Pending,8,1,2
104622,Active,4,0,1
104623,Active,8,1,4
104624,Inactive,2,1,2
104625,Active,6,0,3
104626,Pending,9,0,5
104627,Pending,4,0,3
104628,Inactive,2,1,1
104629,Active,9,1,1
104630,Inactive,1,0,5
104631,Active,6,0,4
104632,Active,7,0,2
104633,Inactive,2,0,4
104634,Active,0,1,1
104635,Pending,2,1,1
104636,Inactive,6,1,1
104637,Active,8,0,3
104638,Inactive,3,0,4
104639,Pending,4,1,4
104640,Active,5,0,3
104641,Active,7,0,2
104642,Inactive,2,1,4
104643,Active,1,0,2
104644,Inactive,3,0,5
104645,Active,9,0,5
104646,Pending,7,1,4
104647,Inactive,2,0,5
104648,Active,1,0,5
104649,Inactive,0,0,3
104650,Active,0,0,5
104651,Active,3,1,4
104652,Inactive,9,0,2
104653,Pending,8,1,5
104654,Inactive,4,0,4
104655,Active,9,1,5
104656,Active,1,0,3
104657,Active,9,0,5
104658,Active,4,0,2
104659,Inactive,3,0,4
104660,Pending,8,0,4
104661,Active,4,1,4
104662,Inactive,3,1,5
104663,Active,3,0,1
104664,Active,4,0,2
104665,Active,8,0,5
104666,Inactive,4,0,1
104667,Active,9,0,3
104668,Inactive,7,0,3
104669,Pending,1,1,1
104670,Active,9,1,3
104671,Active,3,1,5
104672,Active,9,1,4
104673,Active,1,1,4
104674,Inactive,2,0,3
104675,Pending,6,0,3
104676,Active,2,0,3
104677,Inactive,9,0,2
104678,Active,7,0,3
104679,Inactive,3,1,1
104680,Active,8,1,3
104681,Active,6,0,3
104682,Pending,7,0,2
104683,Pending,5,0,3
104684,Active,0,0,5
104685,Inactive,2,0,1
104686,Active,8,0,5
104687,Pending,6,1,5
104688,Inactive,5,1,4
104689,Inactive,2,0,1
104690,Inactive,0,1,3
104691,Active,6,0,1
104692,Inactive,2,0,5
104693,Active,0,0,4
104694,Active,8,0,3
104695,Inactive,7,0,2
104696,Active,6,1,4
104697,Inactive,7,0,1
104698,Active,4,1,2
104699,Pending,4,0,3
104700,Pending,6,1,5
104701,Active,9,1,4
104702,Active,7,1,1
104703,Inactive,4,0,2
104704,Inactive,4,1,2
104705,Active,2,1,2
104706,Inactive,7,1,1
104707,Inactive,1,0,2
104708,Active,9,0,3
104709,Active,4,0,2
104710,Inactive,5,1,2
104711,Pending,9,1,2
104712,Active,1,0,3
104713,Pending,6,0,1
104714,Active,0,1,3
104715,Active,5,1,1
104716,Pending,9,1,2
104717,Active,4,1,2
104718,Inactive,9,0,5
104719,Pending,5,1,1
104720,Inactive,8,1,2
104721,Inactive,2,0,5
104722,Active,6,1,3
104723,Inactive,4,0,1
104724,Inactive,2,0,3
104725,Inactive,1,1,5
104726,Active,5,0,3
104727,Pending,7,1,1
104728,Inactive,4,0,1
104729,Active,4,0,4
104730,Active,9,0,3
104731,Active,1,0,5
104732,Inactive,2,0,5
104733,Active,8,0,3
104734,Active,2,1,4
104735,Active,6,0,4
104736,Inactive,9,0,5
104737,Active,0,1,4
104738,Active,0,1,5
104739,Pending,1,1,4
104740,Inactive,2,1,3
104741,Inactive,4,0,3
104742,Inactive,1,0,1
104743,Pending,8,0,3
104744,Active,7,1,3
104745,Active,2,0,2
104746,Active,1,1,1
104747,Active,5,1,4
104748,Active,4,0,2
104749,Inactive,8,1,4
104750,Pending,0,0,3
104751,Active,4,0,2
104752,Pending,0,0,5
104753,Pending,3,1,4
104754,Pending,2,1,4
104755,Active,2,0,3
104756,Inactive,9,0,3
104757,Active,2,0,4
104758,Inactive,5,1,3
104759,Active,1,1,2
104760,Pending,8,0,5
104761,Active,3,0,3
104762,Pending,0,0,4
104763,Inactive,2,1,2
104764,Pending,4,1,2
104765,Pending,3,0,1
104766,Pending,4,0,5
104767,Active,1,1,5
104768,Active,3,0,1
104769,Active,1,0,4
104770,Pending,1,0,1
104771,Active,5,0,2
104772,Active,8,0,5
104773,Active,2,1,1
104774,Active,6,0,2
104775,Active,5,0,3
104776,Active,1,0,4
104777,Active,3,0,3
104778,Active,9,1,2
104779,Pending,5,0,2
104780,Active,3,0,3
104781,Active,9,0,4
104782,Inactive,8,0,4
104783,Active,1,1,3
104784,Pending,7,0,3
104785,Active,9,0,2
104786,Inactive,6,1,1
104787,Inactive,9,0,1
104788,Active,0,1,2
104789,Inactive,7,1,3
104790,Inactive,3,0,1
104791,Active,0,0,4
104792,Active,9,0,3
104793,Inactive,4,0,4
104794,Inactive,7,0,2
104795,Pending,3,0,4
104796,Active,2,1,3
104797,Active,0,1,4
104798,Pending,2,0,1
104799,Inactive,5,0,1
104800,Pending,6,0,3
104801,Active,4,1,2
104802,Active,4,0,5
104803,Active,7,1,3
104804,Active,4,1,2
104805,Active,2,1,2
104806,Inactive,8,1,2
104807,Inactive,0,1,2
104808,Active,7,0,4
104809,Active,8,0,4
104810,Inactive,5,0,2
104811,Active,1,1,3
104812,Active,9,0,5
104813,Active,2,1,1
104814,Inactive,7,1,5
104815,Inactive,2,1,5
104816,Active,4,0,3
104817,Active,8,0,4
104818,Active,5,1,4
104819,Active,8,1,5
104820,Pending,9,1,1
104821,Inactive,6,1,2
104822,Active,1,1,3
104823,Pending,4,1,1
104824,Inactive,6,0,2
104825,Active,8,0,3
104826,Active,5,1,2
104827,Pending,8,0,5
104828,Active,2,0,5
104829,Inactive,6,0,5
104830,Pending,0,1,1
104831,Pending,5,0,1
104832,Active,0,0,5
104833,Active,8,1,1
104834,Active,9,1,1
104835,Active,3,1,2
104836,Active,3,1,4
104837,Inactive,9,1,1
104838,Active,8,1,5
104839,Active,1,1,1
104840,Inactive,3,1,5
104841,Active,7,0,3
104842,Pending,9,0,2
104843,Inactive,5,1,3
104844,Inactive,7,1,4
104845,Pending,0,0,1
104846,Inactive,6,1,4
104847,Active,8,1,3
104848,Pending,0,0,1
104849,Active,2,1,1
104850,Pending,5,0,2
104851,Inactive,9,0,3
104852,Inactive,5,0,5
104853,Pending,3,0,1
104854,Active,1,1,2
104855,Active,1,1,3
104856,Active,5,0,1
104857,Pending,9,0,3
104858,Active,4,1,4
104859,Inactive,2,0,3
104860,Active,5,1,4
104861,Pending,7,0,2
104862,Inactive,2,0,4
104863,Active,1,1,5
104864,Pending,6,0,5
104865,Active,6,1,5
104866,Inactive,4,1,4
104867,Active,9,0,4
104868,Active,0,1,3
104869,Active,4,1,3
104870,Pending,8,0,1
104871,Active,7,1,5
104872,Inactive,3,0,1
104873,Active,2,1,1
104874,Active,5,1,2
104875,Inactive,4,1,3
104876,Active,3,0,2
104877,Inactive,0,0,3
104878,Inactive,1,0,3
104879,Active,0,0,1
104880,Active,3,1,1
104881,Inactive,0,1,3
104882,Pending,1,1,5
104883,Active,7,0,5
104884,Active,9,1,3
104885,Active,5,1,5
104886,Active,4,1,5
104887,Active,9,1,4
104888,Pending,2,0,3
104889,Active,3,0,4
104890,Inactive,9,1,5
104891,Inactive,2,1,5
104892,Active,2,1,5
104893,Inactive,7,1,3
104894,Active,2,1,3
104895,Active,7,1,4
104896,Inactive,2,1,1
104897,Pending,7,1,1
104898,Pending,6,0,4
104899,Active,3,1,3
104900,Inactive,7,0,3
104901,Pending,0,0,3
104902,Active,6,0,3
104903,Inactive,8,1,1
104904,Active,1,0,1
104905,Inactive,0,0,5
104906,Inactive,2,1,5
104907,Inactive,4,1,5
104908,Active,1,0,2
104909,Active,7,0,4
104910,Active,9,0,4
104911,Active,3,0,4
104912,Active,0,1,2
104913,Active,2,0,5
104914,Active,8,1,4
104915,Active,1,1,5
104916,Active,0,0,5
104917,Inactive,5,0,3
104918,Pending,1,1,2
104919,Active,5,1,5
104920,Inactive,9,0,4
104921,Inactive,9,1,3
104922,Active,5,0,2
104923,Inactive,8,1,1
104924,Active,7,1,3
104925,Pending,3,1,2
104926,Inactive,0,0,5
104927,Active,7,1,3
104928,Inactive,1,1,4
104929,Inactive,3,0,3
104930,Pending,3,1,4
104931,Active,2,1,3
104932,Active,8,1,2
104933,Active,5,0,4
104934,Inactive,9,0,5
104935,Pending,6,1,1
104936,Active,4,1,5
104937,Pending,5,1,3
104938,Active,6,0,2
104939,Pending,7,0,4
104940,Inactive,7,1,4
104941,Active,5,1,4
104942,Active,9,0,5
104943,Active,8,0,5
104944,Pending,9,1,2
104945,Pending,6,0,5
104946,Active,5,0,2
104947,Inactive,9,0,5
104948,Active,0,0,4
104949,Inactive,2,0,3
104950,Inactive,5,0,5
104951,Active,5,0,3
104952,Inactive,7,1,3
104953,Inactive,8,0,5
104954,Active,6,0,4
104955,Inactive,4,0,2
104956,Active,9,0,2
104957,Active,1,1,2
104958,Active,3,1,5
104959,Pending,1,0,4
104960,Pending,6,1,3
104961,Active,4,0,3
104962,Active,7,0,2
104963,Pending,6,0,3
104964,Active,8,1,1
104965,Active,6,0,3
104966,Pending,8,0,2
104967,Inactive,2,1,4
104968,Pending,2,0,4
104969,Active,3,0,5
104970,Inactive,2,1,5
104971,Pending,8,1,5
104972,Pending,5,0,2
104973,Inactive,7,0,2
104974,Active,4,1,2
104975,Inactive,8,1,4
104976,Pending,8,0,4
104977,Active,4,0,4
104978,Active,3,0,2
104979,Active,5,1,1
104980,Pending,9,0,4
104981,Inactive,0,0,2
104982,Inactive,2,0,3
104983,Inactive,1,1,1
104984,Inactive,8,1,2
104985,Active,6,0,5
104986,Inactive,1,1,5
104987,Active,5,0,4
104988,Inactive,2,1,3
104989,Active,3,1,2
104990,Active,3,1,2
104991,Active,8,1,3
104992,Inactive,3,0,4
104993,Active,0,1,2
104994,Inactive,1,1,2
104995,Active,1,0,3
104996,Active,0,0,5
104997,Pending,4,1,5
104998,Pending,4,1,4
104999,Active,6,0,4
105000,Pending,1,0,5
105001,Pending,1,1,4
105002,Active,3,0,1
105003,Active,4,0,1
105004,Pending,6,0,5
105005,Active,6,0,3
105006,Inactive,3,0,5
105007,Inactive,1,1,2
105008,Active,2,0,3
105009,Inactive,7,0,1
105010,Inactive,4,1,2
105011,Active,4,1,1
105012,Inactive,1,0,4
105013,Inactive,7,1,2
105014,Inactive,6,1,4
105015,Active,7,1,1
105016,Pending,1,1,5
105017,Active,8,0,3
105018,Active,3,0,4
105019,Pending,8,1,1
105020,Active,8,1,4
105021,Inactive,4,0,1
105022,Active,2,1,2
105023,Pending,8,0,4
105024,Active,8,0,5
105025,Inactive,1,1,4
105026,Pending,6,1,4
105027,Inactive,3,0,5
105028,Inactive,2,0,3
105029,Inactive,7,0,1
105030,Active,1,1,1
105031,Active,7,0,4
105032,Active,6,1,3
105033,Pending,1,0,4
105034,Active,8,0,1
105035,Pending,5,1,2
105036,Active,2,1,3
105037,Pending,7,1,4
105038,Pending,3,0,4
105039,Inactive,3,1,2
105040,Pending,0,0,4
105041,Active,3,0,5
105042,Active,4,0,2
105043,Inactive,1,0,5
105044,Pending,0,1,2
105045,Active,1,0,4
105046,Inactive,2,0,2
105047,Active,8,1,3
105048,Pending,8,1,4
105049,Active,1,1,5
105050,Active,9,1,2
105051,Inactive,4,0,3
105052,Inactive,3,0,5
105053,Inactive,4,1,3
105054,Active,2,0,4
105055,Pending,7,0,3
105056,Pending,4,1,3
105057,Active,2,0,4
105058,Active,7,1,4
105059,Inactive,4,1,2
105060,Inactive,7,1,5
105061,Pending,3,0,3
105062,Active,8,0,2
105063,Active,8,0,2
105064,Active,9,1,4
105065,Active,4,0,3
105066,Active,1,0,3
105067,Active,0,0,4
105068,Pending,1,1,5
105069,Inactive,0,1,5
105070,Active,6,1,1
105071,Inactive,0,0,5
105072,Pending,9,0,1
105073,Active,0,1,3
105074,Pending,6,1,4
105075,Active,5,0,3
105076,Active,6,1,3
105077,Active,5,0,2
105078,Active,9,0,3
105079,Inactive,2,1,1
105080,Inactive,0,0,5
105081,Active,6,1,1
105082,Inactive,5,1,2
105083,Inactive,2,0,5
105084,Active,6,1,2
105085,Inactive,2,0,5
105086,Active,2,0,2
105087,Active,3,0,2
105088,Inactive,1,0,4
105089,Inactive,0,0,1
105090,Inactive,4,1,1
105091,Active,1,1,2
105092,Inactive,3,0,1
105093,Active,7,0,5
105094,Active,2,1,1
105095,Inactive,8,0,4
105096,Inactive,1,1,2
105097,Pending,4,1,5
105098,Active,1,0,5
105099,Inactive,1,0,5
105100,Inactive,8,1,3
105101,Inactive,5,1,3
105102,Inactive,5,1,5
105103,Active,4,1,4
105104,Inactive,6,0,5
105105,Active,0,1,2
105106,Active,2,0,3
105107,Active,3,0,2
105108,Active,0,0,3
105109,Inactive,7,1,2
105110,Active,6,0,4
105111,Active,3,0,1
105112,Active,6,0,4
105113,Active,0,0,1
105114,Inactive,5,1,2
105115,Inactive,7,1,4
105116,Active,4,0,2
105117,Active,6,0,1
105118,Inactive,1,1,2
105119,Active,7,0,5
105120,Active,6,0,5
105121,Pending,2,1,1
105122,Pending,5,0,4
105123,Active,5,1,3
105124,Active,9,1,1
105125,Inactive,6,1,4
105126,Inactive,4,1,1
105127,Pending,2,1,3
105128,Active,0,1,4
105129,Active,5,1,4
105130,Inactive,5,0,4
105131,Active,0,1,4
105132,Active,3,1,2
105133,Active,7,0,1
105134,Pending,0,1,2
105135,Inactive,2,1,1
105136,Active,0,1,2
105137,Inactive,7,0,2
105138,Inactive,1,1,4
105139,Pending,4,0,1
105140,Active,1,0,2
105141,Pending,8,0,1
105142,Active,7,0,4
105143,Active,2,1,3
105144,Inactive,9,1,1
105145,Active,3,1,2
105146,Active,6,1,4
105147,Inactive,9,0,2
105148,Inactive,0,0,1
105149,Pending,0,1,5
105150,Inactive,8,1,1
105151,Inactive,9,1,2
105152,Pending,1,0,2
105153,Active,1,0,2
105154,Pending,7,0,2
105155,Active,7,1,1
105156,Active,1,0,3
105157,Active,6,0,1
105158,Active,5,0,4
105159,Inactive,2,1,4
105160,Inactive,2,0,4
105161,Inactive,0,0,1
105162,Inactive,1,1,3
105163,Inactive,4,1,4
105164,Active,0,1,1
105165,Pending,9,1,5
105166,Active,8,0,4
105167,Inactive,3,0,5
105168,Active,1,1,5
105169,Active,3,1,4
105170,Pending,2,0,2
105171,Inactive,2,0,3
105172,Pending,5,0,4
105173,Inactive,0,1,2
105174,Pending,0,1,2
105175,Active,5,1,5
105176,Active,6,1,5
105177,Pending,8,1,3
105178,Active,5,1,4
105179,Inactive,1,0,3
105180,Pending,7,0,5
105181,Active,6,0,4
105182,Active,1,1,1
105183,Active,2,0,4
105184,Inactive,7,1,3
105185,Active,8,0,2
105186,Active,9,0,1
105187,Active,3,1,4
105188,Active,9,1,2
105189,Inactive,7,0,5
105190,Inactive,8,1,2
105191,Active,7,1,4
105192,Pending,1,0,1
105193,Active,7,0,3
105194,Pending,1,1,3
105195,Active,1,0,3
105196,Active,2,1,3
105197,Pending,8,0,5
105198,Active,9,0,1
105199,Pending,5,0,3
105200,Inactive,3,1,5
105201,Inactive,6,1,2
105202,Active,3,0,3
105203,Inactive,6,0,1
105204,Pending,9,1,2
105205,Active,9,1,4
105206,Active,5,1,5
105207,Active,9,0,4
105208,Inactive,6,0,3
105209,Active,6,0,1
105210,Active,9,0,5
105211,Inactive,7,1,3
105212,Active,2,1,1
105213,Pending,4,1,4
105214,Pending,8,1,3
105215,Active,3,0,2
105216,Inactive,7,1,2
105217,Inactive,7,1,4
105218,Pending,5,1,4
105219,Active,5,0,2
105220,Pending,6,1,3
105221,Inactive,5,1,2
105222,Active,7,0,4
105223,Active,2,1,3
105224,Inactive,5,0,1
105225,Active,2,0,3
105226,Active,0,1,4
105227,Active,5,1,5
105228,Active,0,1,1
105229,Active,7,1,3
105230,Active,6,1,2
105231,Inactive,1,0,4
105232,Active,3,0,3
105233,Active,5,1,1
105234,Active,6,1,1
105235,Active,4,0,4
105236,Active,9,0,5
105237,Active,6,1,3
105238,Active,8,0,1
105239,Active,3,0,5
105240,Active,1,1,3
105241,Pending,8,1,1
105242,Pending,2,0,2
105243,Active,7,0,3
105244,Inactive,6,0,1
105245,Pending,6,1,5
105246,Inactive,5,0,1
105247,Active,7,1,1
105248,Active,1,0,4
105249,Inactive,5,1,1
105250,Inactive,6,0,2
105251,Pending,5,1,1
105252,Pending,8,1,4
105253,Active,8,1,3
105254,Inactive,3,0,1
105255,Active,6,0,4
105256,Inactive,8,0,2
105257,Pending,3,1,3
105258,Inactive,7,0,1
105259,Inactive,2,0,1
105260,Active,2,1,5
105261,Active,3,0,2
105262,Inactive,7,0,5
105263,Active,1,0,5
105264,Active,9,0,2
105265,Active,6,1,1
105266,Active,3,0,3
105267,Inactive,6,0,3
105268,Pending,9,0,4
105269,Pending,6,0,5
105270,Active,8,1,1
105271,Inactive,4,1,2
105272,Pending,3,1,3
105273,Inactive,4,1,1
105274,Active,9,0,5
105275,Inactive,2,0,2
105276,Active,3,1,2
105277,Active,6,1,3
105278,Active,8,0,4
105279,Pending,8,0,2
105280,Inactive,2,0,4
105281,Inactive,7,0,5
105282,Inactive,3,1,4
105283,Active,8,0,4
105284,Pending,3,0,4
105285,Inactive,9,1,4
105286,Inactive,6,1,5
105287,Active,8,1,2
105288,Active,3,0,4
105289,Pending,9,1,5
105290,Pending,8,0,4
105291,Inactive,4,0,5
105292,Active,6,0,5
105293,Inactive,1,1,4
105294,Pending,4,1,2
105295,Inactive,3,1,3
105296,Pending,0,0,5
105297,Active,9,0,2
105298,Inactive,3,1,3
105299,Pending,5,0,4
105300,Active,6,1,5
105301,Active,4,0,1
105302,Active,7,1,3
105303,Active,5,0,3
105304,Active,5,1,2
105305,Pending,3,1,1
105306,Active,5,0,5
105307,Active,7,1,3
105308,Active,9,0,4
105309,Inactive,5,1,1
105310,Inactive,3,1,3
105311,Active,8,1,1
105312,Active,0,1,5
105313,Active,5,0,1
105314,Pending,9,0,3
105315,Active,8,1,3
105316,Pending,9,1,2
105317,Pending,7,0,1
105318,Active,2,0,1
105319,Active,0,1,3
105320,Pending,9,0,1
105321,Inactive,1,1,4
105322,Active,5,1,4
105323,Active,4,1,5
105324,Pending,3,0,2
105325,Active,5,1,5
105326,Inactive,7,1,1
105327,Active,4,1,4
105328,Inactive,9,1,2
105329,Active,3,0,3
105330,Active,2,1,2
105331,Active,0,1,2
105332,Inactive,4,0,3
105333,Active,7,1,1
105334,Inactive,4,0,5
105335,Active,0,1,3
105336,Inactive,7,0,1
105337,Active,7,1,1
105338,Pending,7,0,4
105339,Inactive,3,0,5
105340,Active,3,0,3
105341,Active,0,0,5
105342,Active,6,0,3
105343,Active,3,0,4
105344,Inactive,0,1,3
105345,Inactive,8,0,4
105346,Inactive,4,0,3
105347,Inactive,1,0,1
105348,Inactive,9,0,4
105349,Inactive,4,1,3
105350,Inactive,3,1,5
105351,Active,9,0,1
105352,Active,9,1,4
105353,Inactive,0,0,3
105354,Active,8,1,5
105355,Active,2,0,1
105356,Active,6,1,5
105357,Inactive,5,1,5
105358,Active,1,0,5
105359,Pending,5,0,5
105360,Active,9,1,3
105361,Pending,4,0,3
105362,Inactive,8,0,5
105363,Active,7,0,5
105364,Inactive,1,1,3
105365,Inactive,4,1,4
105366,Inactive,8,0,1
105367,Inactive,0,0,4
105368,Active,5,0,1
105369,Inactive,7,1,4
105370,Active,1,1,3
105371,Inactive,4,0,2
105372,Inactive,8,0,2
105373,Active,9,0,4
105374,Inactive,9,0,3
105375,Pending,2,1,2
105376,Active,0,1,2
105377,Active,9,0,5
105378,Active,5,0,1
105379,Inactive,0,0,2
105380,Active,3,1,4
105381,Pending,1,1,4
105382,Inactive,6,0,5
105383,Active,6,0,5
105384,Pending,8,1,2
105385,Active,9,0,1
105386,Active,1,1,3
105387,Active,1,0,2
105388,Pending,5,0,2
105389,Active,3,0,3
105390,Inactive,1,1,1
105391,Active,1,0,2
105392,Active,8,1,4
105393,Inactive,7,1,1
105394,Inactive,6,1,2
105395,Inactive,5,0,4
105396,Active,0,0,3
105397,Active,8,0,1
105398,Inactive,7,1,5
105399,Inactive,5,1,5
105400,Pending,0,0,1
105401,Active,5,1,1
105402,Active,3,0,4
105403,Inactive,7,1,4
105404,Active,4,1,3
105405,Active,3,1,4
105406,Active,2,0,4
105407,Active,1,1,2
105408,Active,8,0,5
105409,Inactive,5,1,2
105410,Inactive,1,1,3
105411,Active,8,0,3
105412,Active,9,1,3
105413,Active,3,0,1
105414,Active,4,1,4
105415,Active,3,1,5
105416,Active,4,0,1
105417,Active,9,1,1
105418,Pending,6,0,5
105419,Active,3,0,5
105420,Active,9,0,3
105421,Inactive,1,0,2
105422,Active,1,0,5
105423,Pending,5,0,2
105424,Active,5,0,3
105425,Active,6,1,1
105426,Inactive,8,0,1
105427,Active,4,1,3
105428,Pending,6,0,3
105429,Inactive,0,1,5
105430,Active,8,1,4
105431,Pending,6,0,5
105432,Pending,8,1,2
105433,Active,7,1,1
105434,Pending,4,1,3
105435,Inactive,4,1,5
105436,Active,3,1,2
105437,Active,9,0,4
105438,Inactive,6,0,1
105439,Active,0,1,2
105440,Pending,0,0,1
105441,Active,0,0,2
105442,Active,0,1,4
105443,Active,1,1,2
105444,Inactive,0,1,2
105445,Inactive,1,1,2
105446,Pending,3,0,2
105447,Pending,2,0,1
105448,Inactive,1,1,3
105449,Inactive,9,0,3
105450,Inactive,0,1,3
105451,Active,2,1,5
105452,Inactive,6,0,3
105453,Active,0,0,3
105454,Pending,6,1,2
105455,Active,9,1,1
105456,Active,4,1,4
105457,Active,9,1,4
105458,Active,9,0,1
105459,Pending,1,1,3
105460,Active,1,1,3
105461,Active,3,1,5
105462,Active,6,1,1
105463,Active,7,0,5
105464,Inactive,3,0,4
105465,Active,4,0,5
105466,Active,9,1,1
105467,Active,6,1,3
105468,Inactive,2,0,5
105469,Active,2,0,3
105470,Active,2,1,3
105471,Active,1,1,1
105472,Inactive,9,1,4
105473,Active,4,1,3
105474,Active,6,1,1
105475,Inactive,2,1,3
105476,Inactive,3,0,2
105477,Active,6,0,5
105478,Active,2,1,3
105479,Inactive,6,1,5
105480,Active,9,0,4
105481,Active,2,1,4
105482,Inactive,6,1,3
105483,Pending,6,0,5
105484,Active,5,0,5
105485,Pending,1,0,5
105486,Active,3,1,5
105487,Inactive,2,1,4
105488,Pending,5,1,4
105489,Active,3,0,1
105490,Active,2,1,4
105491,Active,7,1,5
105492,Inactive,5,0,2
105493,Active,7,0,1
105494,Active,9,1,4
105495,Active,0,1,1
105496,Inactive,9,0,2
105497,Inactive,0,0,4
105498,Inactive,6,1,5
105499,Active,9,0,4
105500,Pending,3,1,2
105501,Inactive,5,0,3
105502,Pending,1,0,4
105503,Active,1,0,4
105504,Active,1,1,2
105505,Active,7,0,2
105506,Pending,9,1,2
105507,Active,9,0,5
105508,Active,0,0,5
105509,Pending,5,1,5
105510,Inactive,6,0,1
105511,Inactive,1,0,4
105512,Inactive,6,0,1
105513,Inactive,9,1,3
105514,Active,9,1,3
105515,Active,8,1,1
105516,Active,7,0,1
105517,Active,6,0,1
105518,Active,7,0,5
105519,Pending,6,1,1
105520,Active,5,1,1
105521,Active,5,0,2
105522,Pending,0,0,5
105523,Active,1,1,1
105524,Active,4,0,4
105525,Inactive,1,0,1
105526,Active,9,1,2
105527,Active,7,0,3
105528,Inactive,4,1,2
105529,Pending,9,1,3
105530,Active,1,0,4
105531,Pending,0,1,5
105532,Pending,9,0,4
105533,Active,5,1,2
105534,Inactive,7,1,3
105535,Pending,4,0,3
105536,Inactive,9,1,5
105537,Pending,4,0,3
105538,Pending,5,1,5
105539,Pending,8,0,5
105540,Pending,3,0,3
105541,Pending,6,0,3
105542,Active,0,0,1
105543,Active,8,0,1
105544,Pending,7,0,4
105545,Active,8,0,5
105546,Pending,6,1,4
105547,Active,3,1,5
105548,Active,6,0,4
105549,Active,2,0,3
105550,Active,8,1,1
105551,Inactive,7,0,2
105552,Active,7,0,2
105553,Inactive,8,0,1
105554,Inactive,4,0,1
105555,Inactive,6,1,4
